3.1102	-1.6682	24.028
3.14	-0.9238	25.565
3.3741	0.12251	29.098
3.4021	1.2751	31.001
2.8573	-0.14629	18.385
3.3349	0.56645	22.577
3.3539	2.5372	32.307
3.4013	4.0384	34.767
3.2499	1.4849	22.905
3.2524	2.3487	23.924
3.7386	-5.0723	70.791
3.1841	-2.944	34.856
2.6885	-1.4684	31.318
3.5903	-0.47802	46.079
3.6858	1.408	51.47
1.7274	8.498	74.079
3.6631	3.597	55.895
3.622	6.4969	63.18
3.1133	-1.7074	24.052
3.1413	-0.96391	25.575
3.3939	0.077541	29.279
3.4045	1.2278	31.027
2.8532	-0.17435	18.358
3.339	0.53221	22.608
3.3451	2.4801	32.222
3.3955	3.9771	34.712
3.2533	1.451	22.933
3.2552	2.3138	23.949
3.734	-5.1763	70.693
3.1885	-3.0028	34.903
2.6829	-1.5137	31.246
3.5893	-0.54975	46.067
3.6855	1.3275	51.469
3.0461	8.4726	107.73
3.7489	3.5961	57.285
3.6222	6.3988	63.196
3.1126	-1.7442	24.043
3.1422	-1.0039	25.581
3.3828	0.03207	29.178
3.4051	1.1798	31.034
2.8373	-0.20123	18.248
3.2445	0.48175	21.934
3.3571	2.4392	32.349
3.3737	3.8962	34.482
3.2554	1.4164	22.952
3.2348	2.2614	23.795
3.7357	-5.2896	70.721
3.1877	-3.0564	34.89
3.4383	-2.0366	40.713
4.1379	0.16699	103.39
3.4964	4.0499	102.26
3.5917	-0.6221	46.1
3.6884	1.2483	51.515
3.0454	8.3025	107.73
2.6219	2.4015	39.127
2.3165	3.883	39.123
2.872	-0.78075	6.4416
2.8992	-0.45919	6.7033
2.9072	1.1585	13.334
2.9735	1.9553	14.231
2.8666	-0.028231	6.8068
2.879	0.33202	7.0063
2.8712	-0.14396	5.9047
2.877	0.1387	6.0548
2.8865	0.80412	7.1714
2.9144	1.1939	7.3882
2.8895	0.56183	6.2008
2.9021	0.90383	6.3384
2.9128	-1.0878	9.1207
2.8924	-0.63429	9.3964
2.8927	-1.0583	7.5598
2.8941	-0.69786	7.8233
2.8733	-0.074532	9.6676
2.8834	0.44878	10.033
2.8764	-0.21434	8.0258
2.88	0.19484	8.274
2.8935	1.1125	10.382
2.9278	1.7143	10.832
2.8867	0.74283	8.5134
2.9069	1.2136	8.7914
2.9234	-1.7645	14.724
2.9205	-1.0705	15.559
2.902	-1.5789	11.186
2.9045	-1.0319	11.72
2.9258	-0.17661	16.493
2.9469	0.73899	17.582
2.9054	-0.32417	12.258
2.9092	0.26726	12.812
3.1125	-1.856	24.034
3.1423	-1.123	25.578
-0.54182	4.937	80.659
3.3922	-0.10437	29.265
3.4133	1.0378	31.121
2.8412	-0.28625	18.275
3.2103	0.37545	21.692
3.3616	2.2916	32.408
3.3621	3.7217	34.378
3.2521	1.3084	22.934
3.2605	2.1692	24.007
3.729	-5.6109	70.566
3.1782	-3.209	34.766
3.4345	-2.2244	40.658
3.4901	3.5632	102.1
3.5909	-0.83768	46.088
3.6955	1.0092	51.63
1.8998	8.8247	82.582
3.7488	3.2384	57.313
2.3192	3.7052	39.194
3.1146	-1.8947	24.049
3.1434	-1.1632	25.587
3.3889	-0.14965	29.235
2.5416	0.71619	22.72
2.8259	-0.3124	18.17
3.2269	0.34384	21.811
